1,Missing,1982,0,122,0,"Drama, History, Mystery",Costa-Gavras
2,Amadeus,1984,0,160,0,"Biography, Drama, History",Milos Forman
3,The Mission,1986,0,125,0,"Adventure, Drama, History",Roland Joff\xc3\xa9
4,Broadcast News,1987,0,133,0,"Comedy, Drama, Romance",James L. Brooks
5,Born on the Fourth of July,1989,0,145,0,"Biography, Drama, War",Oliver Stone
6,The Godfather,1972,0,175,0,"Crime, Drama",Francis Ford Coppola
7,The Godfather: Part II,1974,1,202,0,"Crime, Drama",Francis Ford Coppola
8,The Godfather: Part III,1990,1,162,0,"Crime, Drama",Francis Ford Coppola
9,Unforgiven,1992,0,131,0,Western,Clint Eastwood
10,Schindler's List,1993,0,195,0,"Biography, Drama, History",Steven Spielberg
11,Fargo,1996,0,98,0,"Crime, Drama, Thriller","Joel Coen, Ethan Coen"
12,L. A. Confidential,1997,0,138,0,"Crime, Drama, Mystery",Curtis Hanson
13,Gladiator,2000,0,155,0,"Action, Drama",Ridley Scott
14,Gosford Park,2001,0,131,0,"Drama, Mystery",Robert Altman
15,Master and Commander: The Far Side of the World,2003,0,138,0,"Action, Adventure, Drama",Peter Weir
16,The Pianist,2002,0,150,0,"Biography, Drama, War",Roman Polanski
17,The Hours,2002,0,114,0,Drama,Stephen Daldry
18,"Good Night, and Good Luck",2005,0,93,0,"Biography, Drama, History",George Clooney
19,Munich,2005,0,164,0,"Drama, History, Thriller",Steven Spielberg
20,The Queen,2006,0,103,0,"Biography, Drama",Stephen Frears
21,No Country for Old Men,2007,0,122,0,"Crime, Drama, Thriller","Ethan Coen, Joel Coen"
22,Slumdog Millionaire,2008,0,120,0,"Drama, Romance","Danny Boyle, Loveleen Tandan"
23,Frost/Nixon,2008,0,122,0,"Drama, History",Ron Howard
24,The Hurt Locker,2008,0,131,0,"Drama, History, Thriller",Kathryn Bigelow
25,District 9,2009,0,112,0,"Action, Sci-Fi",Neill Blomkamp
26,Inglourious Basterds,2009,0,153,0,"Adventure, Drama, War","Quentin Tarantino, Eli Roth"
27,The Artist,2011,0,100,0,"Comedy, Drama, Romance",Michel Hazanavicius
28,The Help,2011,0,146,0,Drama,Tate Taylor
29,Lincoln,2012,0,150,0,"Biography, Drama, History",Steven Spielberg
30,12 years a Slave,2013,0,134,0,"Biography, Drama, History",Steve McQueen
31,American Sniper,2014,0,133,0,"Action, Biography, Drama",Clint Eastwood
32,Boyhood,2014,0,165,0,Drama,Richard Linklater
33,The Imitation Game,2014,0,114,0,"Biography, Drama, Thriller",Morten Tyldum
34,The Theory of Everything,2014,0,123,0,"Biography, Drama, Romance",James Marsh
35,Selma,2014,0,128,0,"Biography, Drama, History",Ava DuVernay
36,Donnie Brasco,1997,0,127,0,"Biography, Crime, Drama",Mike Newell
37,"O Brother, Where Art Thou?",2000,0,106,0,"Adventure, Comedy, Crime","Joel Coen, Ethan Coen"
38,Children of men,2006,0,109,0,"Drama, Sci-Fi, Thriller",Alfonso Cuar\xc3\xb3n
39,Social Network,2010,0,120,0,"Biography, Drama",David Fincher
40,Treasure Planet,2002,0,95,0,"Animation, Adventure, Family","Ron Clements, John Musker"
41,Persepolis,2007,0,96,0,"Animation, Biography, Drama","Vincent Paronnaud, Marjane Satrapi"
42,WALL-E,2008,0,98,0,"Short, Comedy",Doug Walker
43,Princess and the Frog,2009,0,97,0,Family,William Butler
44,Wreck-It Ralph,2012,0,101,0,"Animation, Adventure, Comedy",Rich Moore
45,...and justice for all.,1979,0,119,0,"Crime, Drama, Thriller",Norman Jewison
46,Brazil,1985,0,132,0,"Drama, Sci-Fi",Terry Gilliam
47,Braveheart,1995,0,178,0,"Biography, Drama, History",Mel Gibson
48,The Barbarian Invasions,2003,0,99,0,"Comedy, Crime, Drama",Denys Arcand
49,Michael Clayton,2007,0,119,0,"Crime, Drama, Mystery",Tony Gilroy
50,In Bruges,2008,0,107,0,"Comedy, Crime, Drama",Martin McDonagh
51,Moonrise Kingdom,2012,0,94,0,"Adventure, Comedy, Drama",Wes Anderson
52,Day for Night,1973,0,115,0,"Comedy, Drama, Romance",Fran\xc3\xa7ois Truffaut
53,Kagemusha,1980,0,162,0,"Drama, History, War",Akira Kurosawa
54,The Passion of the Christ,2004,0,127,0,Drama,Mel Gibson
55,Schtonk,1992,0,115,0,Comedy,Helmut Dietl
56,Musime si pomahat,2000,0,117,0,"Comedy, Drama, War",Jan Hrebejk
57,No Man's Land,2001,0,98,0,"Drama, War",Danis Tanovic
58,A Prophet,2009,0,155,0,"Crime, Drama",Jacques Audiard
59,La Haine,1995,0,98,0,"Crime, Drama",Mathieu Kassovitz
60,Jodaeiye Nader az Simin,2011,0,123,0,"Drama, Mystery",Asghar Farhadi
61,Raging Bull,1980,0,129,0,"Biography, Drama, Sport",Martin Scorsese
62,Ran,1985,0,162,0,"Action, Drama",Akira Kurosawa
63,Serpico,1973,0,130,0,"Biography, Crime, Drama",Sidney Lumet
64,Chinatown,1974,0,130,0,"Drama, Mystery, Thriller",Roman Polanski
65,Sling Blade,1996,0,135,0,Drama,Billy Bob Thornton
